ID	SMILES	InChI	InChIKey
2-chlorobenzalmalononitrile	C1=CC=C(C(=C1)C=C(C#N)C#N)Cl	InChI=1S/C10H5ClN2/c11-10-4-2-1-3-9(10)5-8(6-12)7-13/h1-5H	JJNZXLAFIPKXIG-UHFFFAOYSA-N
methyl vinyl sulfone	CS(=O)(=O)C=C	InChI=1S/C3H6O2S/c1-3-6(2,4)5/h3H,1H2,2H3	WUIJTQZXUURFQU-UHFFFAOYSA-N
showdomycin	C1=C(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O	InChI=1S/C9H11NO6/c11-2-4-6(13)7(14)8(16-4)3-1-5(12)10-9(3)15/h1,4,6-8,11,13-14H,2H2,(H,10,12,15)/t4-,6-,7-,8+/m1/s1	FFLUMYXAPXARJP-JBBNEOJLSA-N
1-octene-3-one	CCCCCC(=O)C=C	InChI=1S/C8H14O/c1-3-5-6-7-8(9)4-2/h4H,2-3,5-7H2,1H3	KLTVSWGXIAYTHO-UHFFFAOYSA-N
dexamethasone 21-methanesulfonate	C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COS(=O)(=O)C)O)C)O)F)C	InChI=1S/C23H31FO7S/c1-13-9-17-16-6-5-14-10-15(25)7-8-20(14,2)22(16,24)18(26)11-21(17,3)23(13,28)19(27)12-31-32(4,29)30/h7-8,10,13,16-18,26,28H,5-6,9,11-12H2,1-4H3/t13-,16+,17+,18+,20+,21+,22+,23+/m1/s1	ATNWRUJPJUBMHC-HOGMHMTRSA-N
umbellulone	CC1=CC(=O)C2(C1C2)C(C)C	InChI=1S/C10H14O/c1-6(2)10-5-8(10)7(3)4-9(10)11/h4,6,8H,5H2,1-3H3/t8-,10+/m0/s1	LTTVJAQLCIHAFV-WCBMZHEXSA-N
3-Methylene-2-norbornanone	C=C1C2CCC(C2)C1=O	InChI=1S/C8H10O/c1-5-6-2-3-7(4-6)8(5)9/h6-7H,1-4H2/t6-,7+/m0/s1	FNOOZJAPZFHNCW-NKWVEPMBSA-N
lumisantonin	CC1C2CCC3(C4(C3(C2OC1=O)C=CC4=O)C)C	InChI=1S/C15H18O3/c1-8-9-4-6-13(2)14(3)10(16)5-7-15(13,14)11(9)18-12(8)17/h5,7-9,11H,4,6H2,1-3H3/t8-,9-,11+,13+,14+,15-/m0/s1	DAGAGXCQQYCLAE-NYAQSBGISA-N
Lophotoxin 	CC(=C)[C@H]1C[C@@H]([C@]23[C@H](O2)[C@@H](C[C@@]4([C@@H](O4)C5=CC(=C(C1)O5)C=O)C)OC3=O)OC(=O)C	InChI=1S/C22H24O8/c1-10(2)12-5-14-13(9-23)6-15(27-14)18-21(4,29-18)8-16-19-22(30-19,20(25)28-16)17(7-12)26-11(3)24/h6,9,12,16-19H,1,5,7-8H2,2-4H3/t12-,16-,17+,18+,19-,21-,22-/m1/s1	KGRIGHVGXOOCOY-ALYDTWDZSA-N
3-hexyn-2-one	CCC#CC(=O)C	InChI=1S/C6H8O/c1-3-4-5-6(2)7/h3H2,1-2H3	LTAPKZGQTMVYMX-UHFFFAOYSA-N
Irofulven	CC1=C(C2=C(C3(CC3)[C@@](C(=O)C2=C1)(C)O)C)CO	InChI=1S/C15H18O3/c1-8-6-10-12(11(8)7-16)9(2)15(4-5-15)14(3,18)13(10)17/h6,16,18H,4-5,7H2,1-3H3/t14-/m0/s1	NICJCIQSJJKZAH-AWEZNQCLSA-N
3-Methyleneoxindole	C=C1C2=CC=CC=C2NC1=O	InChI=1S/C9H7NO/c1-6-7-4-2-3-5-8(7)10-9(6)11/h2-5H,1H2,(H,10,11)	IGXUUWYVUGBMFT-UHFFFAOYSA-N
Discorhabdin C	C1CN=C2C3=C1C=NC3=C(C4=C2C5(CCN4)C=C(C(=O)C(=C5)Br)Br)O	InChI=1S/C18H13Br2N3O2/c19-9-5-18(6-10(20)16(9)24)2-4-22-15-12(18)13-11-8(1-3-21-13)7-23-14(11)17(15)25/h5-7,22,25H,1-4H2	AQUBTUIPDMTCAG-UHFFFAOYSA-N
withaferin A	CC1=C(C(=O)O[C@H](C1)[C@@H](C)[C@H]2CC[C@@H]3[C@@]2(CC[C@H]4[C@H]3C[C@@H]5[C@]6([C@@]4(C(=O)C=C[C@@H]6O)C)O5)C)CO	InChI=1S/C28H38O6/c1-14-11-21(33-25(32)17(14)13-29)15(2)18-5-6-19-16-12-24-28(34-24)23(31)8-7-22(30)27(28,4)20(16)9-10-26(18,19)3/h7-8,15-16,18-21,23-24,29,31H,5-6,9-13H2,1-4H3/t15-,16-,18+,19-,20-,21+,23-,24+,26+,27-,28+/m0/s1	DBRXOUCRJQVYJQ-CKNDUULBSA-N
halenaquinone	C[C@@]12CCC(=O)C3=COC(=C31)C(=O)C4=C2C=C5C(=O)C=CC(=O)C5=C4	InChI=1S/C20H12O5/c1-20-5-4-16(23)12-8-25-19(17(12)20)18(24)11-6-9-10(7-13(11)20)15(22)3-2-14(9)21/h2-3,6-8H,4-5H2,1H3/t20-/m0/s1	SMGBXXZKAPMTBB-FQEVSTJZSA-N
elephantopin	CC(=C)C(=O)O[C@H]1CC2=C[C@@H](C[C@@]3([C@H](O3)[C@@H]4[C@@H]1C(=C)C(=O)O4)C)OC2=O	InChI=1S/C19H20O7/c1-8(2)16(20)24-12-6-10-5-11(23-18(10)22)7-19(4)15(26-19)14-13(12)9(3)17(21)25-14/h5,11-15H,1,3,6-7H2,2,4H3/t11-,12-,13+,14-,15+,19+/m0/s1	WIQOUTANBFOBPB-KIVXNUBRSA-N
vernolepin	C=C[C@]12C[C@@H]([C@@H]3[C@@H]([C@H]1C(=C)C(=O)OC2)OC(=O)C3=C)O	InChI=1S/C15H16O5/c1-4-15-5-9(16)10-7(2)14(18)20-12(10)11(15)8(3)13(17)19-6-15/h4,9-12,16H,1-3,5-6H2/t9-,10+,11+,12-,15+/m0/s1	IFYQXAXVZGMFNW-MVIRXUPPSA-N
spinosyn A	CC[C@H]1CCC[C@@H]([C@H](C(=O)C2=C[C@H]3[C@@H]4C[C@@H](C[C@H]4C=C[C@H]3[C@@H]2CC(=O)O1)O[C@H]5[C@@H]([C@@H]([C@H]([C@@H](O5)C)OC)OC)OC)C)O[C@H]6CC[C@@H]([C@H](O6)C)N(C)C	InChI=1S/C41H65NO10/c1-10-26-12-11-13-34(52-36-17-16-33(42(5)6)23(3)48-36)22(2)37(44)32-20-30-28(31(32)21-35(43)50-26)15-14-25-18-27(19-29(25)30)51-41-40(47-9)39(46-8)38(45-7)24(4)49-41/h14-15,20,22-31,33-34,36,38-41H,10-13,16-19,21H2,1-9H3/t22-,23-,24+,25-,26+,27-,28-,29-,30-,31+,33+,34+,36+,38+,39-,40-,41+/m1/s1	SRJQTHAZUNRMPR-UYQKXTDMSA-N
syringolin A	C[C@H]1[C@@H](NC(=O)[C@@H](NC(=O)[C@H]([C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)C(=C)N(C(=O)CC[C@@H](NC1=O)C(=O)O)C)C)CC(C)C)C(=O)O)C)CCCN=C(N)N)/C=C/C(=C/[C@H](C)[C@H](CC2=CC=CC=C2)OC)/C	InChI=1S/C49H74N10O12/c1-26(2)23-37-46(66)58-40(48(69)70)30(6)42(62)55-35(17-14-22-52-49(50)51)45(65)54-34(19-18-27(3)24-28(4)38(71-10)25-33-15-12-11-13-16-33)29(5)41(61)56-36(47(67)68)20-21-39(60)59(9)32(8)44(64)53-31(7)43(63)57-37/h11-13,15-16,18-19,24,26,28-31,34-38,40H,8,14,17,20-23,25H2,1-7,9-10H3,(H,53,64)(H,54,65)(H,55,62)(H,56,61)(H,57,63)(H,58,66)(H,67,68)(H,69,70)(H4,50,51,52)/b19-18+,27-24+/t28-,29-,30-,31+,34-,35-,36+,37-,38-,40+/m0/s1	ZYZCGGRZINLQBL-GWRQVWKTSA-N
thapsigargin	CCCCCCCC(=O)O[C@H]1[C@H]2C(=C([C@@H]1OC(=O)/C(=C\C)/C)C)[C@H]3[C@]([C@H](C[C@]2(C)OC(=O)C)OC(=O)CCC)([C@](C(=O)O3)(C)O)O	InChI=1S/C34H50O12/c1-9-12-13-14-15-17-24(37)43-28-26-25(20(5)27(28)44-30(38)19(4)11-3)29-34(41,33(8,40)31(39)45-29)22(42-23(36)16-10-2)18-32(26,7)46-21(6)35/h11,22,26-29,40-41H,9-10,12-18H2,1-8H3/b19-11-/t22-,26+,27-,28-,29-,32-,33+,34+/m0/s1	IXFPJGBNCFXKPI-FSIHEZPISA-N
3-pentene-2-one	C/C=C/C(=O)C	InChI=1S/C5H8O/c1-3-4-5(2)6/h3-4H,1-2H3/b4-3+	LABTWGUMFABVFG-ONEGZZNKSA-N
ML346	COC1=CC=C(C=C1)C=CC=C2C(=O)NC(=O)NC2=O	InChI=1S/C14H12N2O4/c1-20-10-7-5-9(6-8-10)3-2-4-11-12(17)15-14(19)16-13(11)18/h2-8H,1H3,(H2,15,16,17,18,19)/b3-2+	IXYLVJHFJKDHRM-NSCUHMNNSA-N
diethylmaleate	CCOC(=O)/C=C\C(=O)OCC	InChI=1S/C8H12O4/c1-3-11-7(9)5-6-8(10)12-4-2/h5-6H,3-4H2,1-2H3/b6-5-	IEPRKVQEAMIZSS-WAYWQWQTSA-N
prostaglandinA2	CCCCC[C@@H](/C=C/[C@H]1C=CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O	InChI=1S/C20H30O4/c1-2-3-6-9-17(21)14-12-16-13-15-19(22)18(16)10-7-4-5-8-11-20(23)24/h4,7,12-18,21H,2-3,5-6,8-11H2,1H3,(H,23,24)/b7-4-,14-12+/t16-,17-,18+/m0/s1	MYHXHCUNDDAEOZ-FOSBLDSVSA-N
delta-12-Prostaglandin J2	CCCCC[C@@H](C/C=C/1\[C@H](C=CC1=O)C/C=C\CCCC(=O)O)O	InChI=1S/C20H30O4/c1-2-3-6-10-17(21)13-14-18-16(12-15-19(18)22)9-7-4-5-8-11-20(23)24/h4,7,12,14-17,21H,2-3,5-6,8-11,13H2,1H3,(H,23,24)/b7-4-,18-14+/t16-,17-/m0/s1	TUXFWOHFPFBNEJ-GJGHEGAFSA-N
senecionine	C/C=C\1/C[C@H]([C@@](C(=O)OCC2=CCN3[C@H]2[C@@H](CC3)OC1=O)(C)O)C	InChI=1S/C18H25NO5/c1-4-12-9-11(2)18(3,22)17(21)23-10-13-5-7-19-8-6-14(15(13)19)24-16(12)20/h4-5,11,14-15,22H,6-10H2,1-3H3/b12-4-/t11-,14-,15-,18-/m1/s1	HKODIGSRFALUTA-JTLQZVBZSA-N
eupatundin	C/C=C(/C)\C(=O)O[C@@H]1CC(=C)[C@@H]2[C@@H]([C@@H]3[C@]([C@@]2([C@@H]4[C@@H]1C(=C)C(=O)O4)O)(O3)C)O	InChI=1S/C20H24O7/c1-6-8(2)17(22)25-11-7-9(3)13-14(21)16-19(5,27-16)20(13,24)15-12(11)10(4)18(23)26-15/h6,11-16,21,24H,3-4,7H2,1-2,5H3/b8-6-/t11-,12-,13-,14+,15+,16-,19-,20-/m1/s1	NFHWFFQENCGSQZ-VAGPNBDPSA-N
seneciphylline	C/C=C\1/CC(=C)[C@@](C(=O)OCC2=CCN3[C@H]2[C@@H](CC3)OC1=O)(C)O	InChI=1S/C18H23NO5/c1-4-12-9-11(2)18(3,22)17(21)23-10-13-5-7-19-8-6-14(15(13)19)24-16(12)20/h4-5,14-15,22H,2,6-10H2,1,3H3/b12-4-/t14-,15-,18-/m1/s1	FCEVNJIUIMLVML-QPSVUOIXSA-N
LNO2	CCCCC/C=C\C/C(=C\CCCCCCCC(=O)O)/[N+](=O)[O-]	InChI=1S/C18H31NO4/c1-2-3-4-5-8-11-14-17(19(22)23)15-12-9-6-7-10-13-16-18(20)21/h8,11,15H,2-7,9-10,12-14,16H2,1H3,(H,20,21)/b11-8-,17-15+	LELVHAQTWXTCLY-XYWKCAQWSA-N
4-hydroxynonenal	CCCCCC(/C=C/C=O)O	InChI=1S/C9H16O2/c1-2-3-4-6-9(11)7-5-8-10/h5,7-9,11H,2-4,6H2,1H3/b7-5+/t9-/m1/s1	JVJFIQYAHPMBBX-VPIOIWJLSA-N
Herbimycin	C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C=C([C@@H]1OC)C2=O)/C)OC)OC(=O)N)\C)C)OC)OC	InChI=1S/C30H42N2O9/c1-16-10-9-11-23(37-5)28(41-30(31)36)18(3)12-17(2)27(40-8)24(38-6)13-19(4)26(39-7)21-14-20(33)15-22(25(21)34)32-29(16)35/h9-12,14-15,17,19,23-24,26-28H,13H2,1-8H3,(H2,31,36)(H,32,35)/b11-9-,16-10+,18-12+/t17-,19-,23-,24-,26+,27+,28-/m0/s1	MCAHMSDENAOJFZ-BVXDHVRPSA-N
3-nonen-2-one	CCCCC/C=C/C(=O)C	InChI=1S/C9H16O/c1-3-4-5-6-7-8-9(2)10/h7-8H,3-6H2,1-2H3/b8-7+	HDKLIZDXVUCLHQ-BQYQJAHWSA-N
Oridonin	CC1(CC[C@@H]([C@]23[C@@H]1[C@@H]([C@]([C@]45[C@H]2CC[C@H]([C@H]4O)C(=C)C5=O)(OC3)O)O)O)C	InChI=1S/C20H28O6/c1-9-10-4-5-11-18-8-26-20(25,19(11,14(9)22)15(10)23)16(24)13(18)17(2,3)7-6-12(18)21/h10-13,15-16,21,23-25H,1,4-8H2,2-3H3/t10-,11-,12-,13+,15+,16-,18+,19-,20+/m0/s1	SDHTXBWLVGWJFT-XKCURVIJSA-N
BAY11-7082	CC1=CC=C(C=C1)S(=O)(=O)/C=C/C#N	InChI=1S/C10H9NO2S/c1-9-3-5-10(6-4-9)14(12,13)8-2-7-11/h2-6,8H,1H3/b8-2+	DOEWDSDBFRHVAP-KRXBUXKQSA-N
goyazensolide 	CC(=C)C(=O)O[C@H]1C[C@@]2(C(=O)C=C(O2)/C(=C\[C@@H]3[C@@H]1C(=C)C(=O)O3)/CO)C	InChI=1S/C19H20O7/c1-9(2)17(22)25-14-7-19(4)15(21)6-12(26-19)11(8-20)5-13-16(14)10(3)18(23)24-13/h5-6,13-14,16,20H,1,3,7-8H2,2,4H3/b11-5-/t13-,14+,16+,19-/m1/s1	HTMCLLSRQWRPTN-OKMRAYSCSA-N
3-octen-2-one	CCCC/C=C/C(=O)C	InChI=1S/C8H14O/c1-3-4-5-6-7-8(2)9/h6-7H,3-5H2,1-2H3/b7-6+	ZCFOBLITZWHNNC-VOTSOKGWSA-N
3-hepten-2-one	CCC/C=C/C(=O)C	InChI=1S/C7H12O/c1-3-4-5-6-7(2)8/h5-6H,3-4H2,1-2H3/b6-5+	JHHZQADGLDKIPM-AATRIKPKSA-N
4-hexen-3-one	CCC(=O)/C=C/C	InChI=1S/C6H10O/c1-3-5-6(7)4-2/h3,5H,4H2,1-2H3/b5-3+	FEWIGMWODIRUJM-HWKANZROSA-N
2-Octen-4-one	CCCCC(=O)/C=C/C	InChI=1S/C8H14O/c1-3-5-7-8(9)6-4-2/h4,6H,3,5,7H2,1-2H3/b6-4+	FMDLEUPBHMCPQV-GQCTYLIASA-N
zerumbone	C/C/1=C\CC(/C=C/C(=O)/C(=C/CC1)/C)(C)C	InChI=1S/C15H22O/c1-12-6-5-7-13(2)14(16)9-11-15(3,4)10-8-12/h7-9,11H,5-6,10H2,1-4H3/b11-9+,12-8+,13-7+	GIHNTRQPEMKFKO-SKTNYSRSSA-N
Bis[2-hydroxybenzylidene]acetone	C1=CC=C(C(=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2O)O	InChI=1S/C17H14O3/c18-15(11-9-13-5-1-3-7-16(13)19)12-10-14-6-2-4-8-17(14)20/h1-12,19-20H/b11-9+,12-10+	YNVAHBUBGBLIEY-WGDLNXRISA-N
luffariellin A	CC1CCCC1(CC/C(=C/CCC2=CCC(OC2O)C3=CC(=O)OC3O)/C)C(=C)C	InChI=1S/C25H36O5/c1-16(2)25(13-6-8-18(25)4)14-12-17(3)7-5-9-19-10-11-21(29-23(19)27)20-15-22(26)30-24(20)28/h7,10,15,18,21,23-24,27-28H,1,5-6,8-9,11-14H2,2-4H3/b17-7+/t18-,21-,23+,24-,25+/m0/s1	IFOBOXQQSZZOFG-DIBGDGTMSA-N
deoxyelephantopin	C/C/1=C\[C@@H]2[C@@H]([C@H](CC3=C[C@@H](C1)OC3=O)OC(=O)C(=C)C)C(=C)C(=O)O2	InChI=1S/C19H20O6/c1-9(2)17(20)24-15-8-12-7-13(23-19(12)22)5-10(3)6-14-16(15)11(4)18(21)25-14/h6-7,13-16H,1,4-5,8H2,2-3H3/b10-6+/t13-,14-,15+,16+/m1/s1	JMUOPRSXUVOHFE-GZZMZBIISA-N
luffariellin B	CC1CCCC1(CC/C(=C/CC/C(=C/CC(C2=CC(=O)OC2O)O)/C=O)/C)C(=C)C	InChI=1S/C25H36O5/c1-17(2)25(13-6-8-19(25)4)14-12-18(3)7-5-9-20(16-26)10-11-22(27)21-15-23(28)30-24(21)29/h7,10,15-16,19,22,24,27,29H,1,5-6,8-9,11-14H2,2-4H3/b18-7+,20-10-/t19-,22-,24-,25+/m1/s1	FIJWKNVOCSKASL-FVOWOXTISA-N
Costunolide	CC1=CCC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C	InChI=1S/C15H20O2/c1-10-5-4-6-11(2)9-14-13(8-7-10)12(3)15(16)17-14/h5,9,13-14H,3-4,6-8H2,1-2H3/b10-5-,11-9+/t13-,14+/m0/s1	HRYLQFBHBWLLLL-GRFSRWIASA-N
manumycin A	CCCC[C@@H](C)/C=C(\C)/C=C(\C)/C(=O)NC1=C[C@]([C@H]2[C@@H](C1=O)O2)(/C=C/C=C/C=C/C(=O)NC3=C(CCC3=O)O)O	InChI=1S/C31H38N2O7/c1-5-6-11-19(2)16-20(3)17-21(4)30(38)32-22-18-31(39,29-28(40-29)27(22)37)15-10-8-7-9-12-25(36)33-26-23(34)13-14-24(26)35/h7-10,12,15-19,28-29,34,39H,5-6,11,13-14H2,1-4H3,(H,32,38)(H,33,36)/b8-7+,12-9+,15-10+,20-16+,21-17+/t19-,28-,29-,31+/m1/s1	TWWQHCKLTXDWBD-MVTGTTCWSA-N
4-hydroxyderricin	CC(=CCC1=C(C=CC(=C1O)C(=O)/C=C/C2=CC=C(C=C2)O)OC)C	InChI=1S/C21H22O4/c1-14(2)4-10-18-20(25-3)13-11-17(21(18)24)19(23)12-7-15-5-8-16(22)9-6-15/h4-9,11-13,22,24H,10H2,1-3H3/b12-7+	XDKYBPGIBVMHHB-KPKJPENVSA-N
glidobactin C	CCCCCCCCC/C=C/C=C/C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@H]1C[C@H](CCNC(=O)/C=C\[C@@H](NC1=O)C)O	InChI=1S/C29H48N4O6/c1-4-5-6-7-8-9-10-11-12-13-14-15-26(37)33-27(22(3)34)29(39)32-24-20-23(35)18-19-30-25(36)17-16-21(2)31-28(24)38/h12-17,21-24,27,34-35H,4-11,18-20H2,1-3H3,(H,30,36)(H,31,38)(H,32,39)(H,33,37)/b13-12+,15-14+,17-16-/t21-,22+,23-,24-,27-/m0/s1	UHXDSKADPILIPT-OHIHYABUSA-N
glidobactin A	CCCCCCC/C=C/C=C/C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@H]1C[C@H](CCNC(=O)/C=C\[C@@H](NC1=O)C)O	InChI=1S/C27H44N4O6/c1-4-5-6-7-8-9-10-11-12-13-24(35)31-25(20(3)32)27(37)30-22-18-21(33)16-17-28-23(34)15-14-19(2)29-26(22)36/h10-15,19-22,25,32-33H,4-9,16-18H2,1-3H3,(H,28,34)(H,29,36)(H,30,37)(H,31,35)/b11-10+,13-12+,15-14-/t19-,20+,21-,22-,25-/m0/s1	TYGJUQYJMIOZLZ-QQXADAIISA-N
glidobactinB	CCCCC/C=C/CC/C=C/C=C/C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@H]1C[C@H](CCNC(=O)/C=C\[C@@H](NC1=O)C)O	InChI=1S/C29H46N4O6/c1-4-5-6-7-8-9-10-11-12-13-14-15-26(37)33-27(22(3)34)29(39)32-24-20-23(35)18-19-30-25(36)17-16-21(2)31-28(24)38/h8-9,12-17,21-24,27,34-35H,4-7,10-11,18-20H2,1-3H3,(H,30,36)(H,31,38)(H,32,39)(H,33,37)/b9-8+,13-12+,15-14+,17-16-/t21-,22+,23-,24-,27-/m0/s1	AZHZGGIJCMPFMJ-AECIEKQISA-N
GlidobactinG	CCCCCCC/C=C/C=C/C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@H]1C[C@H](CCNC(=O)/C=C\[C@@H](NC1=O)CO)O	InChI=1S/C27H44N4O7/c1-3-4-5-6-7-8-9-10-11-12-24(36)31-25(19(2)33)27(38)30-22-17-21(34)15-16-28-23(35)14-13-20(18-32)29-26(22)37/h9-14,19-22,25,32-34H,3-8,15-18H2,1-2H3,(H,28,35)(H,29,37)(H,30,38)(H,31,36)/b10-9+,12-11+,14-13-/t19-,20-,21+,22+,25+/m1/s1	IHONJNBUCZLUOS-FIGNABQDSA-N
GlidobactinF	CCCCC/C=C/C=C/C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@H]1C[C@H](CCNC(=O)/C=C\[C@@H](NC1=O)C)O	InChI=1S/C25H40N4O6/c1-4-5-6-7-8-9-10-11-22(33)29-23(18(3)30)25(35)28-20-16-19(31)14-15-26-21(32)13-12-17(2)27-24(20)34/h8-13,17-20,23,30-31H,4-7,14-16H2,1-3H3,(H,26,32)(H,27,34)(H,28,35)(H,29,33)/b9-8+,11-10+,13-12-/t17-,18+,19-,20-,23-/m0/s1	OJDBZOSAZHSDPV-UELYFCGDSA-N
glidobactinD	CCC(CCCC/C=C/C=C/C(=O)NC(C(C)O)C(=O)NC1CC(CCNC(=O)/C=C\C(NC1=O)C)O)O	InChI=1S/C27H44N4O7/c1-4-20(33)11-9-7-5-6-8-10-12-24(36)31-25(19(3)32)27(38)30-22-17-21(34)15-16-28-23(35)14-13-18(2)29-26(22)37/h6,8,10,12-14,18-22,25,32-34H,4-5,7,9,11,15-17H2,1-3H3,(H,28,35)(H,29,37)(H,30,38)(H,31,36)/b8-6+,12-10+,14-13-/t18-,19+,20+,21-,22-,25-/m0/s1	CWHSSBGVAAMVCC-DHIYINRFSA-N
GlidobactinE	CCCCCC(C/C=C/C=C/C(=O)NC(C(C)O)C(=O)NC1CC(CCNC(=O)/C=C\C(NC1=O)C)O)O	InChI=1S/C27H44N4O7/c1-4-5-7-10-20(33)11-8-6-9-12-24(36)31-25(19(3)32)27(38)30-22-17-21(34)15-16-28-23(35)14-13-18(2)29-26(22)37/h6,8-9,12-14,18-22,25,32-34H,4-5,7,10-11,15-17H2,1-3H3,(H,28,35)(H,29,37)(H,30,38)(H,31,36)/b8-6+,12-9+,14-13-/t18-,19+,20+,21-,22+,25+/m1/s1	DCOUSTGIABFBAL-KTJISCHESA-N
sappanone A	C1/C(=C\C2=CC(=C(C=C2)O)O)/C(=O)C3=C(O1)C=C(C=C3)O	InChI=1S/C16H12O5/c17-11-2-3-12-15(7-11)21-8-10(16(12)20)5-9-1-4-13(18)14(19)6-9/h1-7,17-19H,8H2/b10-5+	KVYZXXBTJHJISR-BJMVGYQFSA-N
gambogic acid	CC(=CCC[C@@]1(C=CC2=C(C3=C(C(=C2O1)CC=C(C)C)O[C@@]45[C@H]6C[C@@H](C=C4C3=O)C(=O)[C@@]5(OC6(C)C)C/C=C(/C)\C(=O)O)O)C)C	InChI=1S/C38H44O8/c1-20(2)10-9-15-36(8)16-14-24-29(39)28-30(40)26-18-23-19-27-35(6,7)46-37(33(23)41,17-13-22(5)34(42)43)38(26,27)45-32(28)25(31(24)44-36)12-11-21(3)4/h10-11,13-14,16,18,23,27,39H,9,12,15,17,19H2,1-8H3,(H,42,43)/b22-13-/t23-,27+,36-,37+,38-/m1/s1	GEZHEQNLKAOMCA-RRZNCOCZSA-N
